MapSize 20,10
[001,002,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[003,004,000,001,002,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,003,004,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
[000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000]
EndMap
